checkpoint path: checkpoints/ic15_resnet50_bs_8_ep_60
init lr: 0.00100000
schedule:  [20, 40]
Training from scratch.

Epoch: [1 | 60] LR: 0.001000
/home/zhangyangsong/env1/lib/python3.6/site-packages/torch/nn/functional.py:2416: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/home/zhangyangsong/env1/lib/python3.6/site-packages/torch/nn/functional.py:2506: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
(161/1250) Batch: 1.085s | TOTAL: 3min | ETA: 20min | Loss: 0.2673 | Acc_t:  0.8705 | IOU_t:  0.7971 | IOU_k:  0.8015
(181/1250) Batch: 1.083s | TOTAL: 3min | ETA: 19min | Loss: 0.2672 | Acc_t:  0.8727 | IOU_t:  0.7984 | IOU_k:  0.8035
(201/1250) Batch: 1.082s | TOTAL: 4min | ETA: 19min | Loss: 0.2654 | Acc_t:  0.8728 | IOU_t:  0.7989 | IOU_k:  0.8019
(221/1250) Batch: 1.080s | TOTAL: 4min | ETA: 19min | Loss: 0.2695 | Acc_t:  0.8728 | IOU_t:  0.7987 | IOU_k:  0.8012
(241/1250) Batch: 1.080s | TOTAL: 4min | ETA: 18min | Loss: 0.2732 | Acc_t:  0.8735 | IOU_t:  0.7972 | IOU_k:  0.8011
(261/1250) Batch: 1.078s | TOTAL: 5min | ETA: 18min | Loss: 0.2717 | Acc_t:  0.8728 | IOU_t:  0.7952 | IOU_k:  0.7994
(281/1250) Batch: 1.076s | TOTAL: 5min | ETA: 17min | Loss: 0.2713 | Acc_t:  0.8717 | IOU_t:  0.7942 | IOU_k:  0.7986
(301/1250) Batch: 1.075s | TOTAL: 5min | ETA: 17min | Loss: 0.2709 | Acc_t:  0.8729 | IOU_t:  0.7965 | IOU_k:  0.8005
(321/1250) Batch: 1.075s | TOTAL: 6min | ETA: 17min | Loss: 0.2698 | Acc_t:  0.8739 | IOU_t:  0.7979 | IOU_k:  0.8024
(341/1250) Batch: 1.074s | TOTAL: 6min | ETA: 16min | Loss: 0.2705 | Acc_t:  0.8746 | IOU_t:  0.7984 | IOU_k:  0.8038
(361/1250) Batch: 1.074s | TOTAL: 6min | ETA: 16min | Loss: 0.2693 | Acc_t:  0.8735 | IOU_t:  0.7985 | IOU_k:  0.8026
(381/1250) Batch: 1.073s | TOTAL: 7min | ETA: 16min | Loss: 0.2685 | Acc_t:  0.8730 | IOU_t:  0.7984 | IOU_k:  0.8023
